iter	Passed	Remaining
0	5	9155
1	8	6300
2	10	5234
3	13	5055
4	14	4598
5	16	4263
6	19	4292
7	21	4136
8	23	3960
9	24	3814
10	27	3805
11	29	3728
12	30	3662
13	33	3710
14	35	3668
15	37	3609
16	39	3548
17	40	3483
18	43	3487
19	44	3438
20	46	3390
21	49	3451
22	51	3421
23	52	3373
24	54	3336
25	55	3284
26	57	3265
27	59	3218
28	60	3201
29	63	3233
30	65	3227
31	67	3198
32	68	3157
33	69	3121
34	71	3090
35	73	3084
36	74	3060
37	76	3034
38	78	3055
39	80	3055
40	82	3030
41	83	3002
42	84	2975
43	86	2955
44	87	2949
45	89	2926
46	90	2902
47	92	2893
48	94	2918
49	96	2900
50	97	2877
51	98	2856
52	100	2841
53	102	2848
54	103	2834
55	105	2819
56	108	2854
57	110	2856
58	112	2842
59	113	2825
60	114	2808
61	116	2800
62	118	2801
63	120	2801
64	124	2847
65	126	2854
66	128	2850
67	130	2846
68	132	2855
69	134	2857
70	136	2852
71	140	2897
72	142	2891
73	143	2877
74	145	2864
75	147	2863
76	148	2858
77	150	2844
78	151	2831
79	154	2848
80	156	2852
